city,country,latitude,longitude,datetime,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
berlin,DE,52.52,13.405,2026-07-12T09:00:00Z,2,84.06,0.21,0.84,78.98,0.87,2.89,3.46,2.44
london,GB,51.5074,-0.1278,2026-07-12T09:00:00Z,2,100.14,1.29,4.85,80.07,3.58,7.68,16.78,2.18
madrid,ES,40.4168,-3.7038,2026-07-12T09:00:00Z,2,81.19,0.06,0.29,83.07,0.47,4.55,13.17,2.1
paris,FR,48.8566,2.3522,2026-07-12T09:00:00Z,2,94.08,0.26,1.25,91.92,1.14,4.76,5.87,6.33
rome,IT,41.9028,12.4964,2026-07-12T09:00:00Z,3,93.5,0.02,0.14,96.02,5.84,47.23,53.93,0
berlin,DE,52.52,13.405,2026-07-12T11:00:00Z,2,83.2,0.13,0.58,79.6,0.59,2.52,2.92,1.88
london,GB,51.5074,-0.1278,2026-07-12T11:00:00Z,2,101.79,1.03,4.17,91.75,3.78,9.08,18.25,2.44
madrid,ES,40.4168,-3.7038,2026-07-12T11:00:00Z,2,80.62,0.04,0.21,86.33,0.49,5.32,15.77,1.57
paris,FR,48.8566,2.3522,2026-07-12T11:00:00Z,2,92.22,0.16,0.84,98.83,0.96,5.13,6.13,5.83
rome,IT,41.9021,12.504,2026-07-12T11:00:00Z,3,93.3,0.02,0.13,94.71,5.35,46.77,53.65,0
berlin,DE,52.52,13.405,2026-07-12T12:00:00Z,2,85.41,0.12,0.66,81.97,0.54,2.64,3.04,2.11
london,GB,51.5074,-0.1278,2026-07-12T12:00:00Z,3,103.31,0.44,2.45,120.55,3.64,11.46,19.95,2.75
madrid,ES,40.4168,-3.7038,2026-07-12T12:00:00Z,2,79.23,0.04,0.18,86.15,0.48,4.88,13.97,1.24
paris,FR,48.8566,2.3522,2026-07-12T12:00:00Z,3,89.26,0.08,0.47,105.44,0.48,4.54,5.29,4.44
rome,IT,41.9028,12.4964,2026-07-12T12:00:00Z,3,92.65,0.02,0.12,93.09,4.62,45.21,51.74,0
berlin,DE,52.52,13.405,2026-07-12T14:00:00Z,2,88.5,0.11,0.61,84.83,0.43,1.98,2.38,2.2
london,GB,51.5074,-0.1278,2026-07-12T14:00:00Z,3,96.36,0.32,1.86,120.21,3.14,9.05,17.68,1.89
madrid,ES,40.4168,-3.7038,2026-07-12T14:00:00Z,2,75.7,0.03,0.15,82.56,0.38,3.38,9.98,0.93
paris,FR,48.8566,2.3522,2026-07-12T14:00:00Z,3,87.49,0.06,0.49,111.99,0.43,4.14,5.01,2.86
