city,country,latitude,longitude,datetime,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
berlin,DE,52.52,13.405,2026-07-12T09:00:00Z,2,84.06,0.21,0.84,78.98,0.87,2.89,3.46,2.44
london,GB,51.5074,-0.1278,2026-07-12T09:00:00Z,2,100.14,1.29,4.85,80.07,3.58,7.68,16.78,2.18
madrid,ES,40.4168,-3.7038,2026-07-12T09:00:00Z,2,81.19,0.06,0.29,83.07,0.47,4.55,13.17,2.1
paris,FR,48.8566,2.3522,2026-07-12T09:00:00Z,2,94.08,0.26,1.25,91.92,1.14,4.76,5.87,6.33
rome,IT,41.9028,12.4964,2026-07-12T09:00:00Z,3,93.5,0.02,0.14,96.02,5.84,47.23,53.93,0
berlin,DE,52.52,13.405,2026-07-12T11:00:00Z,2,83.2,0.13,0.58,79.6,0.59,2.52,2.92,1.88
london,GB,51.5074,-0.1278,2026-07-12T11:00:00Z,2,101.79,1.03,4.17,91.75,3.78,9.08,18.25,2.44
madrid,ES,40.4168,-3.7038,2026-07-12T11:00:00Z,2,80.62,0.04,0.21,86.33,0.49,5.32,15.77,1.57
paris,FR,48.8566,2.3522,2026-07-12T11:00:00Z,2,92.22,0.16,0.84,98.83,0.96,5.13,6.13,5.83
rome,IT,41.9021,12.504,2026-07-12T11:00:00Z,3,93.3,0.02,0.13,94.71,5.35,46.77,53.65,0
